"","row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000175832","ENSG00000175832",3883.52235719287,5.65963078293544,0.139461488355202,33.4115951141119,9.30373196257544e-245,3.18057380872604e-240,"ETV4"
"ENSG00000062038","ENSG00000062038",3231.28443466846,5.76208963669295,0.148648902708047,32.0358209844704,3.45946791823011e-225,5.91326851263072e-221,"CDH3"
"ENSG00000167767","ENSG00000167767",1417.04862265018,6.51032823675366,0.17642361868449,31.2335064762963,3.73946006584658e-214,4.26123939370104e-210,"KRT80"
"ENSG00000164379","ENSG00000164379",1509.89631041069,6.6731139240437,0.196189668922104,28.9164763629637,7.41095417400069e-184,6.33377198480969e-180,"FOXQ1"
"ENSG00000164283","ENSG00000164283",250.159145279163,5.515819284223,0.169152606647576,26.6967170871423,5.13858542055648e-157,3.51335362374288e-153,"ESM1"
"ENSG00000178773","ENSG00000178773",1016.51247061276,6.27334467913578,0.208779857360818,25.2579187752882,9.26992430366679e-141,5.28169387075255e-137,"CPNE7"
"ENSG00000163347","ENSG00000163347",3457.50009758209,4.97687602173887,0.161109659905656,24.6842804091802,1.57768773744709e-134,7.70497614176662e-131,"CLDN1"
"ENSG00000183287","ENSG00000183287",95.0442236933703,-6.35034242823112,0.218961413819538,-24.4350926261406,7.2490969142282e-132,3.09772033887256e-128,"CCBE1"
"ENSG00000237125","ENSG00000237125",115.211711407318,-6.76476421290384,0.236255621120044,-24.4005377970445,1.68785024856977e-131,6.41120539973402e-128,"HAND2-AS1"
"ENSG00000168477","ENSG00000168477",647.684005883246,-5.44100081415913,0.182682075532391,-24.3099975803138,1.53680694764549e-130,5.25372823122087e-127,"TNXB"
"ENSG00000103888","ENSG00000103888",4799.50829024971,5.28633273017706,0.176616002355649,24.2692206425653,4.14472263266352e-130,1.2881044356385e-126,"CEMIP"
"ENSG00000105989","ENSG00000105989",326.943400852603,4.91974474773704,0.162220586991469,24.1630536569515,5.44432828037679e-129,1.55099838827467e-125,"WNT2"
"ENSG00000133800","ENSG00000133800",280.501189360967,-5.56320651656904,0.189095813948779,-24.1317161986731,1.16183459529362e-128,3.05526749805445e-125,"LYVE1"
"ENSG00000133392","ENSG00000133392",28456.7902115953,-6.53210870516197,0.230814263055586,-23.9677939826002,6.02849251046699e-127,1.47207174973446e-123,"MYH11"
"ENSG00000152137","ENSG00000152137",690.587685981468,-5.06885012182491,0.17062126646508,-23.8472624551621,1.08108134166303e-125,2.46385644973949e-122,"HSPB8"
"ENSG00000130226","ENSG00000130226",62.1871910564416,-6.90876752804887,0.248162244347134,-23.8100986860176,2.62499645157716e-125,5.60863304335105e-122,"DPP6"
"ENSG00000163815","ENSG00000163815",236.178238138701,-4.68900888587027,0.155795531536881,-23.6785281931978,6.00184629934028e-124,1.2069359858191e-120,"CLEC3B"
"ENSG00000163431","ENSG00000163431",1857.69375568318,-5.19492287042705,0.177587628812842,-23.6217066384058,2.30645696288645e-123,4.38047431851313e-120,"LMOD1"
"ENSG00000135842","ENSG00000135842",940.809733013412,-4.54892394288682,0.151686621388131,-23.396420267058,4.64765429204887e-121,8.36235313831488e-118,"FAM129A"
"ENSG00000108244","ENSG00000108244",2580.62651505387,7.95554389695457,0.298054351093963,23.3364950769057,1.88999132466487e-120,3.23056217124966e-117,"KRT23"
"ENSG00000165966","ENSG00000165966",90.5263469312924,-6.26225533345048,0.227433700936714,-23.137535518163,1.94091434118187e-118,3.15962369845921e-115,"PDZRN4"
"ENSG00000162706","ENSG00000162706",125.13913618628,-6.68217931887011,0.245932195808859,-23.1046581769488,4.15676053989698e-118,6.45922799167809e-115,"CADM3"
"ENSG00000130176","ENSG00000130176",4508.24027962393,-5.84484847084884,0.210930711716573,-22.9689097022479,9.53748612986174e-117,1.41760217754545e-113,"CNN1"
"ENSG00000214039","ENSG00000214039",607.480559233651,8.63891651805869,0.332732908023383,22.9581034332855,1.22294696852169e-116,1.74198604441177e-113,"RP11-474D1.3"
"ENSG00000185269","ENSG00000185269",2663.96469917437,9.69139055302723,0.378879569101551,22.9397182161007,1.86634566031667e-116,2.55211570974343e-113,"NOTUM"
"ENSG00000165072","ENSG00000165072",146.230820722735,-6.32202308540361,0.232460436064254,-22.8943177407297,5.29307543913614e-116,6.95957988316569e-113,"MAMDC2"
"ENSG00000065534","ENSG00000065534",7153.45677428049,-4.49892681352818,0.154122862692735,-22.7021919551531,4.26207881267664e-114,5.39642319593198e-111,"MYLK"
"ENSG00000182253","ENSG00000182253",2505.39105641865,-6.02173023784898,0.221333669186467,-22.6885058035085,5.81807662583474e-114,7.10345598324238e-111,"SYNM"
"ENSG00000018625","ENSG00000018625",236.645644388724,-6.74931891903711,0.254184507358559,-22.6186834861929,2.83823219210383e-113,3.34578640411247e-110,"ATP1A2"
"ENSG00000122367","ENSG00000122367",134.627022307554,-5.57918754041931,0.20247730443516,-22.6158065131972,3.02943854593342e-113,3.452146204376e-110,"LDB3"
"ENSG00000068976","ENSG00000068976",92.3971914398379,-5.01983727032145,0.179330281657891,-22.4158309079674,2.75844885211906e-111,3.04194620834007e-108,"PYGM"
"ENSG00000172403","ENSG00000172403",3668.85497206646,-5.48094896539726,0.200643760129862,-22.3328598033504,1.77216367803299e-110,1.89322460928862e-107,"SYNPO2"
"ENSG00000164107","ENSG00000164107",179.608542621839,-5.88431659549614,0.220339661396429,-22.1672147653363,7.11808950359512e-109,7.37390932636069e-106,"HAND2"
"ENSG00000170373","ENSG00000170373",1066.18602864254,8.6477177425232,0.345362289416425,22.1440440282172,1.19060089288277e-108,1.19711418012031e-105,"CST1"
"ENSG00000121577","ENSG00000121577",170.608789134296,-4.59026909688405,0.163268080289824,-21.9900245688613,3.58793561550267e-107,3.50449048433069e-104,"POPDC2"
"ENSG00000136546","ENSG00000136546",162.664964053274,-7.27878690471129,0.285607247939693,-21.9839900773004,4.09812988090595e-107,3.89162966968475e-104,"SCN7A"
