"","row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000123500","ENSG00000123500",1037.67105227675,9.24122934773713,0.266913463450801,30.8760346562893,2.50605176025429e-209,7.56125937103923e-205,"COL10A1"
"ENSG00000167767","ENSG00000167767",1417.04862265018,6.91708647045518,0.193326832163939,30.6066488765386,9.98394339472998e-206,1.50617770052896e-201,"KRT80"
"ENSG00000060718","ENSG00000060718",1612.03565712379,7.44859697185387,0.219791155835855,29.3396563084178,3.23806743788817e-189,3.2566323578654e-185,"COL11A1"
"ENSG00000062038","ENSG00000062038",3231.28443466846,5.72475985414428,0.163538773951582,28.8907623554956,1.55969380008941e-183,1.17647703340744e-179,"CDH3"
"ENSG00000105989","ENSG00000105989",326.943400852603,6.0293267517009,0.176286233606376,28.5293221643769,5.0716765332036e-179,3.06045248719638e-175,"WNT2"
"ENSG00000122641","ENSG00000122641",1588.96288600368,6.21275854562753,0.184039414172293,28.3241422445927,1.74317980896419e-176,8.76587019934461e-173,"INHBA"
"ENSG00000164379","ENSG00000164379",1509.89631041069,6.6150196096497,0.215442003277053,26.0627896335931,9.63589752335845e-150,4.1533471439253e-146,"FOXQ1"
"ENSG00000164283","ENSG00000164283",250.159145279163,5.72011995826982,0.183344685420868,25.7445147506446,3.71317616468113e-146,1.40042439050949e-142,"ESM1"
"ENSG00000175832","ENSG00000175832",3883.52235719287,4.85514013119418,0.153538685840254,25.1085914282553,4.00708800184759e-139,1.34335399101939e-135,"ETV4"
"ENSG00000163347","ENSG00000163347",3457.50009758209,5.05297836379943,0.177439252272128,22.8414982136175,1.7753320126502e-115,5.35653174856817e-112,"CLDN1"
"ENSG00000105664","ENSG00000105664",881.581145941919,7.93014839275625,0.304130028907118,22.7867942460649,6.19907727072371e-115,1.7003505401116e-111,"COMP"
"ENSG00000164932","ENSG00000164932",1170.62887349198,4.73093602394484,0.163988449176036,22.7512123121539,1.39589710575705e-114,3.50975062290848e-111,"CTHRC1"
"ENSG00000099953","ENSG00000099953",4350.46551607162,5.39383799925305,0.202122583387458,21.7384812998867,8.87882945863652e-105,2.06070801866139e-101,"MMP11"
"ENSG00000103888","ENSG00000103888",4799.50829024971,5.20831999056416,0.194560368513801,21.6298931931024,9.40006045121927e-104,2.02584731381563e-100,"CEMIP"
"ENSG00000148848","ENSG00000148848",910.140315221778,5.18738288351324,0.196731849983048,21.2847227526913,1.57274386735181e-100,3.1635218643826e-97,"ADAM12"
"ENSG00000108244","ENSG00000108244",2580.62651505387,7.97625860118479,0.327936051925254,21.2732286073106,2.00961512693806e-100,3.78963172562345e-97,"KRT23"
