"SUID","coexpression","cooccurrence","databases","experiments","fusion","interaction","interspecies","name","neighborhood","score","selected","shared interaction","shared name","textmining"
"15345","0.406",,,,,"pp",,"CYP26B1 (pp) CFTR",,"0.433","false","pp","CYP26B1 (pp) CFTR","0.086"
"15346",,,,,,"pp",,"CYP26B1 (pp) RBP2",,"0.422","false","pp","CYP26B1 (pp) RBP2","0.422"
"15347","0.088",,,,,"pp",,"CYP26B1 (pp) SOX9",,"0.438","false","pp","CYP26B1 (pp) SOX9","0.409"
"15348","0.076",,,"0.081",,"pp",,"CYP26B1 (pp) ABHD8",,"0.539","false","pp","CYP26B1 (pp) ABHD8","0.501"
"15349",,,"0.9","0.085",,"pp",,"CYP26B1 (pp) ALDH1A2",,"0.978","false","pp","CYP26B1 (pp) ALDH1A2","0.779"
"15350",,,,"0.132",,"pp",,"CYP26B1 (pp) DAZL",,"0.555","false","pp","CYP26B1 (pp) DAZL","0.509"
"15351",,,"0.65",,,"pp",,"CYP26B1 (pp) UGT1A6",,"0.655","false","pp","CYP26B1 (pp) UGT1A6","0.055"
"15352",,"0.2","0.9",,,"pp",,"CYP26B1 (pp) CYP2B6",,"0.929","false","pp","CYP26B1 (pp) CYP2B6","0.187"
"15353","0.129",,,"0.081",,"pp",,"CYP26B1 (pp) ACSL5",,"0.418","false","pp","CYP26B1 (pp) ACSL5","0.332"
"15354","0.129",,,"0.081",,"pp",,"CYP26B1 (pp) ACSL1",,"0.435","false","pp","CYP26B1 (pp) ACSL1","0.35"
"15355",,,"0.9",,,"pp",,"CFTR (pp) CD4",,"0.901","false","pp","CFTR (pp) CD4","0.053"
"15356","0.061",,,"0.05",,"pp",,"CFTR (pp) KCNQ1",,"0.526","false","pp","CFTR (pp) KCNQ1","0.512"
"15357","0.085",,,"0.056",,"pp",,"CFTR (pp) CTTNBP2",,"0.532","false","pp","CFTR (pp) CTTNBP2","0.502"
"15358",,,,"0.11",,"pp",,"CFTR (pp) AQP9",,"0.643","false","pp","CFTR (pp) AQP9","0.615"
"15359",,,"0.8",,,"pp",,"CFTR (pp) PRKAB1",,"0.806","false","pp","CFTR (pp) PRKAB1","0.073"
"15360","0.062",,,"0.091",,"pp",,"CFTR (pp) ABCG2",,"0.573","false","pp","CFTR (pp) ABCG2","0.539"
"15361",,,,,,"pp",,"CFTR (pp) WNK4",,"0.403","false","pp","CFTR (pp) WNK4","0.403"
"15362","0.062",,,"0.094",,"pp",,"CFTR (pp) CSNK2A2",,"0.497","false","pp","CFTR (pp) CSNK2A2","0.456"
"15363",,,,"0.379",,"pp",,"CFTR (pp) KCNN4",,"0.82","false","pp","CFTR (pp) KCNN4","0.722"
"15364",,,,,,"pp",,"CFTR (pp) IL1B",,"0.61","false","pp","CFTR (pp) IL1B","0.61"
"15365",,,"0.54",,,"pp",,"CFTR (pp) GABRA4",,"0.544","false","pp","CFTR (pp) GABRA4","0.05"
"15366",,,,"0.053",,"pp",,"CFTR (pp) VDAC1",,"0.568","false","pp","CFTR (pp) VDAC1","0.562"
"15367",,,"0.54",,,"pp",,"CFTR (pp) CLCN2",,"0.805","false","pp","CFTR (pp) CLCN2","0.594"
"15368","0.055",,"0.9","0.052",,"pp",,"CFTR (pp) PRKAR2B",,"0.929","false","pp","CFTR (pp) PRKAR2B","0.301"
"15369","0.17",,,,,"pp",,"CFTR (pp) SLC5A1",,"0.501","false","pp","CFTR (pp) SLC5A1","0.423"
"15370",,,"0.54",,,"pp",,"CFTR (pp) TTYH2",,"0.542","false","pp","CFTR (pp) TTYH2","0.046"
"15371",,,"0.9",,,"pp",,"CFTR (pp) FNBP1L",,"0.902","false","pp","CFTR (pp) FNBP1L","0.064"
"15372",,,"0.54",,,"pp",,"CFTR (pp) GABRB1",,"0.54","false","pp","CFTR (pp) GABRB1",
"15373",,,,,,"pp",,"CFTR (pp) SPICE1",,"0.437","false","pp","CFTR (pp) SPICE1","0.437"
"15374","0.076",,,,,"pp",,"CFTR (pp) SPINK1",,"0.798","false","pp","CFTR (pp) SPINK1","0.791"
"15375",,,"0.9",,,"pp",,"CFTR (pp) CCL11",,"0.902","false","pp","CFTR (pp) CCL11","0.067"
"15376","0.048",,"0.9",,,"pp",,"CFTR (pp) IL7R",,"0.9","false","pp","CFTR (pp) IL7R",
"15377","0.061",,,,,"pp",,"CFTR (pp) CXCL8",,"0.745","false","pp","CFTR (pp) CXCL8","0.74"
"15378",,,"0.9",,,"pp",,"CFTR (pp) BIN1",,"0.9","false","pp","CFTR (pp) BIN1",
"15379","0.063",,,,,"pp",,"CFTR (pp) FOXJ1",,"0.411","false","pp","CFTR (pp) FOXJ1","0.398"
"15380","0.063",,,"0.4",,"pp",,"CFTR (pp) HDAC6",,"0.611","false","pp","CFTR (pp) HDAC6","0.364"
"15381","0.634",,,,,"pp",,"CFTR (pp) HKDC1",,"0.641","false","pp","CFTR (pp) HKDC1","0.058"
"15382","0.061",,"0.54","0.379",,"pp",,"CFTR (pp) ANO1",,"0.911","false","pp","CFTR (pp) ANO1","0.709"
"15383",,,,"0.404",,"pp",,"CFTR (pp) DNAJC5",,"0.548","false","pp","CFTR (pp) DNAJC5","0.272"
"15384",,,,,,"pp",,"CFTR (pp) SGK1",,"0.463","false","pp","CFTR (pp) SGK1","0.463"
"15385",,,"0.54",,,"pp",,"CFTR (pp) CLIC2",,"0.588","false","pp","CFTR (pp) CLIC2","0.141"
"15386",,,,"0.103",,"pp",,"CFTR (pp) BAG2",,"0.447","false","pp","CFTR (pp) BAG2","0.409"
"15387","0.636",,,"0.051",,"pp",,"CFTR (pp) RAB3B",,"0.657","false","pp","CFTR (pp) RAB3B","0.089"
"15388","0.061",,"0.9","0.163",,"pp",,"CFTR (pp) SLC2A8",,"0.922","false","pp","CFTR (pp) SLC2A8","0.127"
"15389",,,,"0.057",,"pp",,"CFTR (pp) SRC",,"0.412","false","pp","CFTR (pp) SRC","0.403"
"15390","0.049",,,"0.057",,"pp",,"CFTR (pp) SYK",,"0.523","false","pp","CFTR (pp) SYK","0.511"
"15391",,,,"0.454",,"pp",,"CFTR (pp) TFAP2A",,"0.464","false","pp","CFTR (pp) TFAP2A","0.058"
"15392","0.055",,"0.54","0.268",,"pp",,"CFTR (pp) SLC26A6",,"0.903","false","pp","CFTR (pp) SLC26A6","0.732"
"15393",,,,,,"pp",,"CFTR (pp) IL6",,"0.426","false","pp","CFTR (pp) IL6","0.426"
"15394",,,,,,"pp",,"CFTR (pp) TNF",,"0.45","false","pp","CFTR (pp) TNF","0.45"
"15395",,,"0.54",,,"pp",,"CFTR (pp) BEST1",,"0.747","false","pp","CFTR (pp) BEST1","0.474"
"15396","0.061",,,,,"pp",,"CFTR (pp) FOXA2",,"0.553","false","pp","CFTR (pp) FOXA2","0.544"
"15397",,,"0.9",,,"pp",,"CFTR (pp) ARRB2",,"0.902","false","pp","CFTR (pp) ARRB2","0.066"
"15398",,,,"0.4",,"pp",,"CFTR (pp) SLC4A8",,"0.699","false","pp","CFTR (pp) SLC4A8","0.518"
"15399",,,,,,"pp",,"CFTR (pp) MGAM",,"0.443","false","pp","CFTR (pp) MGAM","0.443"
"15400","0.062",,,"0.417",,"pp",,"CFTR (pp) MARCH2",,"0.553","false","pp","CFTR (pp) MARCH2","0.248"
"15401",,,"0.9",,,"pp",,"CFTR (pp) SHFM1",,"0.9","false","pp","CFTR (pp) SHFM1","0.041"
"15402",,,"0.9",,,"pp",,"CFTR (pp) CCL4",,"0.9","false","pp","CFTR (pp) CCL4","0.046"
"15403",,,,"0.05",,"pp",,"CFTR (pp) MUC5AC",,"0.56","false","pp","CFTR (pp) MUC5AC","0.556"
"15404",,,,,,"pp",,"USH1C (pp) MCOLN1",,"0.518","false","pp","USH1C (pp) MCOLN1","0.518"
"15405","0.061",,,,,"pp",,"USH1C (pp) OTOF",,"0.56","false","pp","USH1C (pp) OTOF","0.551"
"15406","0.076",,,"0.054",,"pp",,"USH1C (pp) PTPRR",,"0.482","false","pp","USH1C (pp) PTPRR","0.455"
"15407",,,,"0.055",,"pp",,"USH1C (pp) CACNA1D",,"0.587","false","pp","USH1C (pp) CACNA1D","0.581"
"15408",,,,,,"pp",,"USH1C (pp) GJB6",,"0.42","false","pp","USH1C (pp) GJB6","0.42"
